Game,AT,AT,AT,AT,AT,AT,AT,AT,LE,LE,LE,LE,LE,LE,LE,LE
Case,imbalanced,imbalanced,imbalanced,imbalanced,balanced,balanced,balanced,balanced,imbalanced,imbalanced,imbalanced,imbalanced,balanced,balanced,balanced,balanced
Metric,mean,std,pvalue,win count,mean,std,pvalue,win count,mean,std,pvalue,win count,mean,std,pvalue,win count
RandCBP_10_5,920.092,3601.543,1.0,90,753.398,1195.065,1.0,60,1522.058,4523.762,1.0,86,1071.02,1330.973,1.0,52
RandCBP_1_5,4.689,4.07,0.014,39,41.417,78.31,0.0,14,11.981,10.148,0.001,1,315.303,459.127,0.0,6
RandCBP_18_5,4.453,4.004,0.014,41,40.615,75.23,0.0,19,10.756,7.63,0.001,6,359.85,367.508,0.0,10
RandCBP_116_5,4.379,3.82,0.014,41,41.45,75.994,0.0,18,10.847,7.767,0.001,6,338.292,372.219,0.0,7
RandCBP_132_5,4.379,3.82,0.014,41,41.355,76.254,0.0,18,10.847,7.767,0.001,6,351.907,378.42,0.0,7
RandCBP_10_10,920.092,3601.543,1.0,90,704.156,1190.377,0.775,50,1522.058,4523.762,1.0,86,1071.02,1330.973,1.0,52
RandCBP_1_10,5.607,4.795,0.015,40,43.368,66.237,0.0,14,13.779,23.142,0.002,3,322.168,417.966,0.0,8
RandCBP_18_10,5.445,4.542,0.015,42,79.007,248.019,0.0,19,12.932,6.678,0.002,2,476.5,399.205,0.0,2
RandCBP_116_10,5.526,4.706,0.015,42,76.933,248.009,0.0,19,12.834,6.779,0.002,2,456.015,393.995,0.0,3
RandCBP_132_10,5.526,4.706,0.015,42,81.401,249.446,0.0,19,12.888,6.786,0.002,2,459.441,393.322,0.0,3
RandCBP_10_20,920.092,3601.543,1.0,90,701.259,1141.956,0.758,50,1522.058,4523.762,1.0,86,1071.02,1330.973,1.0,52
RandCBP_1_20,6.124,5.251,0.015,41,45.195,72.152,0.0,15,14.688,25.046,0.002,2,330.992,408.613,0.0,4
RandCBP_18_20,6.078,5.22,0.015,42,58.687,101.028,0.0,24,14.165,8.09,0.002,1,491.336,406.352,0.0,2
RandCBP_116_20,6.046,5.206,0.015,42,62.951,106.077,0.0,23,14.216,7.98,0.002,1,482.239,387.662,0.0,1
RandCBP_132_20,6.046,5.206,0.015,42,62.494,105.635,0.0,23,14.216,7.98,0.002,1,490.132,385.266,0.0,1
RandCBP_10_100,920.092,3601.543,1.0,90,750.504,1196.308,0.987,48,1522.058,4523.762,1.0,86,1071.02,1330.973,1.0,52
RandCBP_1_100,6.723,5.753,0.015,41,44.336,70.878,0.0,18,14.299,23.416,0.002,1,352.404,496.339,0.0,5
RandCBP_18_100,6.629,5.714,0.015,44,65.256,102.279,0.0,31,16.012,10.813,0.002,0,482.535,381.054,0.0,1
RandCBP_116_100,6.714,5.856,0.015,44,61.851,103.987,0.0,32,15.993,10.777,0.002,0,489.491,399.124,0.0,0
RandCBP_132_100,6.714,5.856,0.015,44,63.074,105.438,0.0,33,15.975,10.787,0.002,0,484.96,383.815,0.0,1
